model,sharpe,variance
./experiments/5ecb8dd9/model_best_sharpe.pth,0.7225680747250323,0.0008901662308480972
./experiments/f53a5051/model_last.pth,0.7015886676009718,0.00033052650109835876
./experiments/bf737822/model_last.pth,0.664362644865793,0.0004449333879206903
./experiments/dbe79b34/model_best_sharpe.pth,0.617537277805895,0.0003592784660655255
./experiments/f2c38302/model_best_sharpe.pth,0.6065260237845942,0.00036451906049860076
./experiments/f8668ba4/model_last.pth,0.574527315418808,0.00043873521053417705
./experiments/aa11149f/model_last.pth,0.570389860714,0.0003488231719361597
./experiments/429da7a5/model_last.pth,0.5411113238546547,0.00025906783457227536
./experiments/0a8390a1/model_best_sharpe.pth,0.5340260396374574,0.00058420229307434
./experiments/cc683f85/model_best_sharpe.pth,0.5288815972446341,0.0009725388714110835
./experiments/2547cf75/model_best_sharpe.pth,0.5245850307228411,0.0003921465387366121
./experiments/f2152ba7/model_last.pth,0.5170612216806353,0.0004182156993416473
./experiments/a0d7b5f0/model_last.pth,0.513371900500042,0.00029406721827440486
./experiments/5b51d291/model_best_sharpe.pth,0.4992170919981625,0.05723787443583676
./experiments/631fb517/model_best_sharpe.pth,0.4988351612955748,0.0001619339274020166
./experiments/ddb2d117/model_best_sharpe.pth,0.4903148776182846,0.00017705524130502793
./experiments/e9e8cfdd/model_last.pth,0.48862038537879277,0.0001780275752920273
./experiments/7a914ffe/model_last.pth,0.4806197202763957,0.0002999970632976395
./experiments/429da7a5/model_best_sharpe.pth,0.4735341237263575,0.00016116962811498693
./experiments/e9e8cfdd/model_best_sharpe.pth,0.4711960253108279,0.0005415054569758664
./experiments/eccb48f8/model_best_sharpe.pth,0.46125449237500726,0.0003267901286097977
./experiments/a591f9c8/model_last.pth,0.4428915451516871,0.0012308209310914454
./experiments/37087838/model_last.pth,0.4387728687857225,0.0004474938670957505
./experiments/eb82b9f6/model_last.pth,0.4358573998664235,0.0001792875536636021
./experiments/0f3df0b3/model_best_sharpe.pth,0.4287156109318207,0.00017987674984471481
./experiments/f2152ba7/model_best_sharpe.pth,0.4202953396923582,0.00017763035253352447
./experiments/a357ae39/model_best_sharpe.pth,0.41528101790742256,0.0003003662030643094
./experiments/0980d60b/model_best_sharpe.pth,0.4106580076526942,0.000533522265105579
./experiments/fd69ce42/model_best_sharpe.pth,0.4032114670300483,0.0015058903299001647
./experiments/0a8390a1/model_last.pth,0.39794138168690263,0.00025983540289888893
./experiments/aa11149f/model_best_sharpe.pth,0.39349821442343635,0.0002010862246965484
./experiments/b46c578a/model_best_sharpe.pth,0.38955669081707495,0.00037851934363725717
./experiments/c1c6e08d/model_last.pth,0.3892558967103165,0.00022584143501839905
./experiments/c1c6e08d/model_best_sharpe.pth,0.3780419777785177,0.0006165697158248639
./experiments/edca1221/model_last.pth,0.3764524829513202,0.0001692436286629947
./experiments/1a880ec7/model_best_sharpe.pth,0.37608861596410914,0.00018306222215058412
./experiments/69314c2c/model_best_sharpe.pth,0.3623173554413644,0.0002277180803498174
./experiments/dbe79b34/model_last.pth,0.36166004160912746,0.00020546211749280897
./experiments/b46c578a/model_last.pth,0.35899951228937577,0.00038143621887133563
./experiments/69314c2c/model_last.pth,0.3526186417859079,0.008658571767200815
./experiments/0f3df0b3/model_last.pth,0.3443533476528486,0.0002139234295430548
./experiments/bf737822/model_best_sharpe.pth,0.3392701172970772,0.0002451667361631912
./experiments/6cece0fb/model_last.pth,0.33849074226742826,0.0005432216630834484
./experiments/f2c38302/model_last.pth,0.32975788264680744,0.00020845993082490227
./experiments/e4cec215/model_last.pth,0.3290793131305821,0.00021975540403013406
./experiments/e7223d67/model_last.pth,0.3108240412749315,0.0047825172629432375
./experiments/eccb48f8/model_last.pth,0.29477133126568267,0.0002632778727529314
./experiments/f53a5051/model_best_sharpe.pth,0.2752814033079564,0.0002292604616194295
./experiments/edca1221/model_best_sharpe.pth,0.26334622466577784,0.0006965606010161427
./experiments/ddb2d117/model_last.pth,0.26004540592535885,0.0002333409425942855
./experiments/e7223d67/model_best_sharpe.pth,0.25780195469058315,0.000704837786758283
./experiments/fd69ce42/model_last.pth,0.2529016466964542,0.016564034773510015
./experiments/ee2dfd9c/model_last.pth,0.2500620949810134,0.0003297388827804925
./experiments/a0d7b5f0/model_best_sharpe.pth,0.24380444767699114,0.00018367123594524728
./experiments/37965a5f/model_best_sharpe.pth,0.24267668695373296,0.00026620915957140605
./experiments/5ecb8dd9/model_last.pth,0.24014939173454036,0.0014644673684832497
./experiments/8d0ea029/model_best_sharpe.pth,0.23573638472291938,0.0011783935760135188
./experiments/e4cec215/model_best_sharpe.pth,0.22099473680714046,0.00025609597594811005
./experiments/37087838/model_best_sharpe.pth,0.1699790500621518,0.0034147485400618832
./experiments/1a880ec7/model_last.pth,0.16144644009756184,0.0002506215486835666
./experiments/2547cf75/model_last.pth,0.1182183032968972,0.0002221560418824583
./experiments/0980d60b/model_last.pth,0.1179296148078317,0.00028824059221690924
./experiments/5b51d291/model_last.pth,0.10627568159679696,0.00021016679886566952
./experiments/eb82b9f6/model_best_sharpe.pth,0.07452880516994788,0.00022529679893629708
./experiments/938d532b/model_last.pth,0.008539174350585842,0.0002393271845929865
./experiments/8d0ea029/model_last.pth,-0.030142464051462748,0.0002433644183434625
./experiments/f8668ba4/model_best_sharpe.pth,-0.04498608812941535,0.0012511268115155357
./experiments/6cece0fb/model_best_sharpe.pth,-0.04737326526903552,0.00027059459501363204
./experiments/a357ae39/model_last.pth,-0.06062863087722265,0.2835444269140051
./experiments/cc683f85/model_last.pth,-0.08516554032817114,0.0018809968727233836
./experiments/ee2dfd9c/model_best_sharpe.pth,-0.13778867000092332,0.00030576806978614143
./experiments/a591f9c8/model_best_sharpe.pth,-0.16724806039927967,0.004661550706385671
./experiments/37965a5f/model_last.pth,-0.1810757846633549,0.0011128610531060746
./experiments/7a914ffe/model_best_sharpe.pth,-0.2004511739366537,0.0039628017901978336
